Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Journey_Date,Journey_Day,Journey_Month,Journey_Weekday,Duration_min,Total_Stops_num,Dep_Hour,Arr_Hour
SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 10 May,2h 55m,non-stop,No info,4423,2019-05-09,9,5,3,175,0,21,0
IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227,2019-06-18,18,6,1,90,0,21,22
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 25 Jun,15h 30m,1 stop,No info,13377,2019-06-24,24,6,0,930,1,10,1
Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,8016,2019-06-12,12,6,2,180,0,8,11
Air India,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,06:50,08:50 13 Mar,26h,1 stop,No info,5626,2019-03-09,9,3,5,1560,1,6,8
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,6860,2019-03-21,21,3,3,170,0,16,19
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 02 Jun,6h 55m,1 stop,No info,6628,2019-06-01,1,6,5,415,1,18,1
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 07 Jun,23h 35m,1 stop,In-flight meal not included,11627,2019-06-06,6,6,3,1415,1,13,12
SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,4174,2019-06-09,9,6,6,150,0,17,19
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 02 Jun,10h 10m,1 stop,No info,14714,2019-06-01,1,6,5,610,1,18,4
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,No info,14151,2019-05-12,12,5,6,690,1,9,21
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,19:00 28 May,27h,1 stop,In-flight meal not included,12898,2019-05-27,27,5,0,1620,1,16,19
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 19 May,6h 35m,1 stop,In-flight meal not included,12373,2019-05-18,18,5,5,395,1,21,4
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943,2019-06-18,18,6,1,170,0,10,13
Air Asia,9/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,7870,2019-06-09,9,6,6,500,2,15,23
Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,8016,2019-06-18,18,6,1,185,0,18,22
Air India,15/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:05,09:25 16 May,20h 20m,2 stops,No info,10975,2019-05-15,15,5,2,1220,2,13,9
IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850,2019-05-27,27,5,0,140,0,7,10
IndiGo,18/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804,2019-06-18,18,6,1,165,0,20,23
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,20:50,04:25 10 Mar,7h 35m,1 stop,No info,15554,2019-03-09,9,3,5,455,1,20,4
SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,2h 40m,non-stop,No info,4465,2019-03-18,18,3,0,160,0,6,9
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 10 Jun,12h 55m,1 stop,In-flight meal not included,11841,2019-06-09,9,6,6,775,1,21,10
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,19332,2019-03-09,9,3,5,675,1,8,19
SpiceJet,21/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841,2019-06-21,21,6,4,150,0,17,19
IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,4591,2019-04-12,12,4,4,170,0,10,13
IndiGo,24/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,4h 50m,1 stop,No info,5192,2019-05-24,24,5,4,290,1,15,20
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 10 Jun,18h 20m,1 stop,In-flight meal not included,10577,2019-06-09,9,6,6,1100,1,18,12
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,No info,15129,2019-05-18,18,5,5,535,2,19,4
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:00,13h,1 stop,No info,11789,2019-06-06,6,6,3,780,1,6,19
Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,21:00,07:40 16 Jun,10h 40m,1 stop,No info,8372,2019-06-15,15,6,5,640,1,21,7
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,8266,2019-05-09,9,5,3,795,1,6,19
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,14781,2019-05-06,6,5,0,800,1,6,19
Vistara,21/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,5613,2019-04-21,21,4,6,155,0,17,19
Jet Airways,24/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229,2019-04-24,24,4,2,175,0,15,18
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,21:00,12h 30m,1 stop,No info,6093,2019-06-24,24,6,0,750,1,8,21
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,In-flight meal not included,15544,2019-05-21,21,5,1,425,2,5,12
GoAir,18/05/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,6296,2019-05-18,18,5,5,370,1,7,13
IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4804,2019-04-27,27,4,5,165,0,9,12
Air Asia,18/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,non-stop,No info,4284,2019-03-18,18,3,0,170,0,5,8
IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:20,14h 45m,1 stop,No info,6558,2019-03-21,21,3,3,885,1,7,22
IndiGo,24/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 25 Jun,5h 45m,1 stop,No info,5775,2019-06-24,24,6,0,345,1,21,3
SpiceJet,21/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543,2019-06-21,21,6,4,135,0,8,10
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,18:50,8h 55m,1 stop,No info,17024,2019-03-06,6,3,2,535,1,9,18
Jet Airways,9/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4050,2019-06-09,9,6,6,85,0,7,8
Air India,6/03/2019,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,06:00,15:15 07 Mar,33h 15m,2 stops,No info,14219,2019-03-06,6,3,2,1995,2,6,15
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,18:25,6h 45m,1 stop,No info,26890,2019-03-01,1,3,4,405,1,11,18
Air India,15/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 16 Jun,23h 30m,2 stops,No info,9653,2019-06-15,15,6,5,1410,2,19,19
IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943,2019-06-21,21,6,4,165,0,6,8
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,16:20 19 May,26h 15m,1 stop,In-flight meal not included,10844,2019-05-18,18,5,5,1575,1,14,16
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 02 Apr,7h 30m,1 stop,In-flight meal not included,8849,2019-04-01,1,4,0,450,1,21,4
IndiGo,12/06/2019,Mumbai,Hyderabad,BOM → HYD,01:40,03:10,1h 30m,non-stop,No info,2754,2019-06-12,12,6,2,90,0,1,3
Air India,21/03/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,19:15 22 Mar,36h 25m,2 stops,No info,10756,2019-03-21,21,3,3,2185,2,6,19
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 22 May,28h 5m,1 stop,No info,14151,2019-05-21,21,5,1,1685,1,17,21
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,9899,2019-06-12,12,6,2,740,1,8,20
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,22:00,04:25 22 Mar,6h 25m,1 stop,No info,12242,2019-03-21,21,3,3,385,1,22,4
Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 10 Jun,17h 5m,2 stops,In-flight meal not included,10368,2019-06-09,9,6,6,1025,2,19,12
IndiGo,24/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,5755,2019-05-24,24,5,4,90,0,9,10
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 16 Jun,10h 10m,1 stop,In-flight meal not included,10262,2019-06-15,15,6,5,610,1,18,4
SpiceJet,6/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6643,2019-06-06,6,6,3,520,1,8,17
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,9845,2019-03-21,21,3,3,810,1,7,21
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 25 Mar,17h 5m,1 stop,In-flight meal not included,11134,2019-03-24,24,3,6,1025,1,18,12
SpiceJet,1/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583,2019-06-01,1,6,5,315,1,6,11
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,6069,2019-05-15,15,5,2,300,1,16,21
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,20:20,14h 35m,1 stop,No info,13817,2019-03-12,12,3,1,875,1,5,20
Air India,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,19:15 07 Mar,38h 15m,2 stops,No info,10283,2019-03-06,6,3,2,2295,2,5,19
Air India,24/03/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7795,2019-03-24,24,3,6,675,1,9,21
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,00:20,07:40,7h 20m,1 stop,In-flight meal not included,13977,2019-03-09,9,3,5,440,1,0,7
Jet Airways,1/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 02 Jun,21h 40m,2 stops,In-flight meal not included,10919,2019-06-01,1,6,5,1300,2,6,4
IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,20:25,23:05,2h 40m,non-stop,No info,6038,2019-03-03,3,3,6,160,0,20,23
IndiGo,21/05/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5601,2019-05-21,21,5,1,195,0,5,8
IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,12351,2019-03-09,9,3,5,810,1,7,21
Air India,15/04/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094,2019-04-15,15,4,0,170,0,5,8
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,7575,2019-05-15,15,5,2,520,1,10,19
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,04:25 28 May,6h 35m,1 stop,No info,16079,2019-05-27,27,5,0,395,1,21,4
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 16 Jun,23h 45m,1 stop,In-flight meal not included,10262,2019-06-15,15,6,5,1425,1,19,19
Air Asia,9/06/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:25,5h 40m,1 stop,No info,13470,2019-06-09,9,6,6,340,1,16,22
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,8016,2019-06-27,27,6,3,175,0,11,14
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,18:50 10 Mar,24h 35m,1 stop,No info,16289,2019-03-09,9,3,5,1475,1,18,18
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 07 Jun,8h 40m,1 stop,In-flight meal not included,10262,2019-06-06,6,6,3,520,1,19,4
IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,4823,2019-06-27,27,6,3,175,0,18,21
Vistara,9/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403,2019-04-09,9,4,1,170,0,9,12
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 19 May,25h 30m,1 stop,In-flight meal not included,12373,2019-05-18,18,5,5,1530,1,17,19
SpiceJet,6/03/2019,Mumbai,Hyderabad,BOM → JLR → HYD,14:10,22:25,8h 15m,1 stop,No info,13552,2019-03-06,6,3,2,495,1,14,22
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,10844,2019-05-09,9,5,3,740,1,8,20
Air India,6/03/2019,Mumbai,Hyderabad,BOM → JDH → DEL → HYD,09:40,23:45,14h 5m,2 stops,No info,22619,2019-03-06,6,3,2,845,2,9,23
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,8625,2019-05-27,27,5,0,520,1,10,19
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,4777,2019-03-24,24,3,6,165,0,6,8
IndiGo,21/06/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5000,2019-06-21,21,6,4,195,0,5,8
Jet Airways,6/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:45 07 Mar,24h 35m,2 stops,No info,21954,2019-03-06,6,3,2,1475,2,19,19
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 04 Jun,16h 55m,1 stop,In-flight meal not included,11627,2019-06-03,3,6,0,1015,1,11,4
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 25 May,14h 35m,1 stop,No info,13731,2019-05-24,24,5,4,875,1,14,4
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 04 Apr,2h 50m,non-stop,No info,3943,2019-04-03,3,4,2,170,0,22,1
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,23:00,14h 5m,1 stop,In-flight meal not included,6992,2019-03-21,21,3,3,845,1,8,23
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 07 May,9h 45m,1 stop,No info,13941,2019-05-06,6,5,0,585,1,18,4
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,14924,2019-06-12,12,6,2,660,1,8,19
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,No info,18371,2019-06-27,27,6,3,620,1,2,12
IndiGo,3/03/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,7295,2019-03-03,3,3,6,140,0,19,21
Air India,09/03/2019,Banglore,New Delhi,BLR → GOI → DEL,17:00,16:40 13 Mar,23h 40m,1 stop,No info,9292,2019-03-09,9,3,5,1420,1,17,16
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 02 May,12h 15m,1 stop,No info,13941,2019-05-01,1,5,2,735,1,20,8
IndiGo,24/03/2019,Kolkata,Banglore,CCU → HYD → BLR,04:15,09:50,5h 35m,1 stop,No info,4150,2019-03-24,24,3,6,335,1,4,9
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 02 Apr,27h 35m,1 stop,No info,12681,2019-04-01,1,4,0,1655,1,20,23
IndiGo,3/06/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5601,2019-06-03,3,6,0,195,0,5,8
Air India,21/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,08:55 22 May,23h 5m,2 stops,No info,14960,2019-05-21,21,5,1,1385,2,9,8
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 07 Jun,9h 30m,1 stop,No info,13377,2019-06-06,6,6,3,570,1,16,1
IndiGo,21/03/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:25,1h 25m,non-stop,No info,3342,2019-03-21,21,3,3,85,0,12,13
Jet Airways,6/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,8016,2019-06-06,6,6,3,175,0,11,14
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,23:00,17h 15m,1 stop,No info,16736,2019-03-06,6,3,2,1035,1,5,23
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,19:40 25 Mar,22h 30m,1 stop,In-flight meal not included,10031,2019-03-24,24,3,6,1350,1,21,19
Air India,21/04/2019,Delhi,Cochin,DEL → BLR → COK,20:30,08:15 22 Apr,11h 45m,1 stop,No info,7258,2019-04-21,21,4,6,705,1,20,8
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030,2019-05-15,15,5,2,165,0,6,8
Air India,24/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 25 Jun,28h 50m,2 stops,No info,13381,2019-06-24,24,6,0,1730,2,14,19
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 26 May,29h 20m,2 stops,No info,16704,2019-05-24,24,5,4,1760,2,23,4
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13587,2019-06-24,24,6,0,720,1,9,21
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678,2019-05-24,24,5,4,85,0,2,4
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,09:20 02 Apr,26h 50m,1 stop,In-flight meal not included,7064,2019-04-01,1,4,0,1610,1,6,9
IndiGo,3/06/2019,Mumbai,Hyderabad,BOM → HYD,01:40,03:10,1h 30m,non-stop,No info,2754,2019-06-03,3,6,0,90,0,1,3
Vistara,1/05/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668,2019-05-01,1,5,2,170,0,9,12
Air Asia,21/06/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,4107,2019-06-21,21,6,4,150,0,19,22
IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,21:00,16h 5m,1 stop,No info,5894,2019-06-12,12,6,2,965,1,4,21
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 07 Jun,10h 55m,1 stop,In-flight meal not included,10262,2019-06-06,6,6,3,655,1,17,4
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,08:15 10 May,15h 45m,1 stop,No info,13941,2019-05-09,9,5,3,945,1,16,8
Air Asia,27/04/2019,Delhi,Cochin,DEL → BLR → COK,16:45,07:10 28 Apr,14h 25m,1 stop,No info,6451,2019-04-27,27,4,5,865,1,16,7
Air India,27/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,09:45,09:25 28 Jun,23h 40m,2 stops,No info,10975,2019-06-27,27,6,3,1420,2,9,9
Air India,6/03/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 07 Mar,19h 40m,2 stops,No info,14746,2019-03-06,6,3,2,1180,2,12,7
Air Asia,6/06/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 07 Jun,10h 25m,1 stop,No info,11410,2019-06-06,6,6,3,625,1,20,7
SpiceJet,1/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,2019-05-01,1,5,2,155,0,6,9
Air India,3/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 04 Jun,24h 50m,2 stops,No info,13381,2019-06-03,3,6,0,1490,2,6,7
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 10 May,14h,1 stop,No info,15078,2019-05-09,9,5,3,840,1,11,1
Air India,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9h 5m,1 stop,No info,8891,2019-05-09,9,5,3,545,1,9,18
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 10 May,20h,1 stop,In-flight meal not included,7757,2019-05-09,9,5,3,1200,1,14,10
Air India,9/04/2019,Banglore,Delhi,BLR → DEL,05:45,08:45,3h,non-stop,No info,4441,2019-04-09,9,4,1,180,0,5,8
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,18:10 25 Mar,22h 25m,1 stop,In-flight meal not included,10031,2019-03-24,24,3,6,1345,1,19,18
IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4823,2019-04-12,12,4,4,170,0,13,15
Air India,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,18:30,9h 5m,1 stop,No info,8576,2019-05-24,24,5,4,545,1,9,18
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,16:10 13 Mar,19h 35m,1 stop,In-flight meal not included,11087,2019-03-12,12,3,1,1175,1,20,16
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,12:35 19 May,26h 35m,1 stop,In-flight meal not included,12373,2019-05-18,18,5,5,1595,1,10,12
Air India,21/05/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,09:25,05:35 22 May,20h 10m,2 stops,No info,11432,2019-05-21,21,5,1,1210,2,9,5
IndiGo,15/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175,2019-06-15,15,6,5,90,0,16,18
IndiGo,12/05/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4804,2019-05-12,12,5,6,165,0,9,12
Jet Airways,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 28 Jun,26h 55m,2 stops,No info,13014,2019-06-27,27,6,3,1615,2,9,12
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → HYD → COK,07:10,22:20,15h 10m,1 stop,In-flight meal not included,7563,2019-03-06,6,3,2,910,1,7,22
SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873,2019-06-27,27,6,3,145,0,9,11
IndiGo,21/05/2019,Delhi,Cochin,DEL → HYD → COK,11:55,00:55 22 May,13h,1 stop,No info,6282,2019-05-21,21,5,1,780,1,11,0
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,11200,2019-06-01,1,6,5,630,1,8,19
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,5613,2019-04-24,24,4,2,165,0,19,22
IndiGo,9/06/2019,Delhi,Cochin,DEL → COK,14:20,17:35,3h 15m,non-stop,No info,5601,2019-06-09,9,6,6,195,0,14,17
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 16 Jun,22h 35m,1 stop,In-flight meal not included,10262,2019-06-15,15,6,5,1355,1,14,12
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,non-stop,No info,14306,2019-03-01,1,3,4,175,0,20,22
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,20:45 02 Apr,24h 45m,1 stop,In-flight meal not included,7064,2019-04-01,1,4,0,1485,1,20,20
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,18371,2019-06-27,27,6,3,715,1,7,19
Air India,18/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 19 May,23h,2 stops,No info,13591,2019-05-18,18,5,5,1380,2,20,19
Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 02 Jun,26h 55m,2 stops,In-flight meal not included,10368,2019-06-01,1,6,5,1615,2,9,12
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 13 Jun,7h 40m,2 stops,No info,18275,2019-06-12,12,6,2,460,2,17,1
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 28 May,2h 50m,non-stop,No info,3749,2019-05-27,27,5,0,170,0,22,1
Air Asia,6/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,6810,2019-06-06,6,6,3,500,2,15,23
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:40,21:00,9h 20m,1 stop,No info,7485,2019-05-21,21,5,1,560,1,11,21
Air India,27/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510,2019-05-27,27,5,0,150,0,14,16
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 04 Jun,10h 10m,1 stop,In-flight meal not included,10262,2019-06-03,3,6,0,610,1,18,4
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,No info,6723,2019-06-24,24,6,0,540,1,7,16
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,15:30,7h 30m,1 stop,No info,8307,2019-03-21,21,3,3,450,1,8,15
GoAir,21/04/2019,Delhi,Cochin,DEL → HYD → COK,05:55,13:35,7h 40m,1 stop,No info,6146,2019-04-21,21,4,6,460,1,5,13
Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 28 May,23h 10m,2 stops,No info,15129,2019-05-27,27,5,0,1390,2,13,12
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,No info,14388,2019-05-01,1,5,2,330,1,6,12
Jet Airways,6/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4544,2019-04-06,6,4,5,165,0,6,8
